Cell_ID	UMLS_code
CLPUB00331	"""C0023270"""
CLPUB00140	"""C1269224"""
CLPUB00140	"""C1296089"""
CLPUB00140	"""C1296105"""
CLPUB00140	"""C1296436"""
CLPUB00140	"""C1296479"""
CLPUB00140	"""C1296494"""
CLPUB00140	"""C1296614"""
CLPUB00140	"""C1296622"""
CLPUB00140	"""C1296636"""
CLPUB00140	"""C1296640"""
CLPUB00140	"""C1296642"""
CLPUB00140	"""C1296644"""
CLPUB00140	"""C1296680"""
CLPUB00140	"""C1296681"""
CLPUB00140	"""C1296689"""
CLPUB00140	"""C1297321"""
CLPUB00140	"""C1321458"""
CLPUB00031	"""C0021658"""
CLPUB00365	"""C0329120"""
CLPUB00036	"""C0440560"""
CLPUB00283	"""C0332315"""
CLPUB00283	"""C0440585"""
CLPUB00193	"""C0428936"""
CLPUB00322	"""C0423121"""
CLPUB00322	"""C0423477"""
CLPUB00322	"""C0424482"""
CLPUB00322	"""C0426522"""
CLPUB00322	"""C0429339"""
CLPUB00322	"""C0429473"""
CLPUB00322	"""C0562338"""
CLPUB00322	"""C0729640"""
CLPUB00232	"""C1257879"""
CLPUB00230	"""C0076280"""
CLPUB00230	"""C0626936"""
CLPUB00359	"""C0457320"""
CLPUB00359	"""C0573984"""
CLPUB00169	"""C0323265"""
CLPUB00169	"""C0323308"""
CLPUB00169	"""C0561296"""
CLPUB00155	"""C0557651"""
CLPUB00155	"""C1304686"""
CLPUB00155	"""C1320457"""
CLPUB00003	"""C0202762"""
CLPUB00003	"""C0412604"""
CLPUB00003	"""C0561271"""
CLPUB00003	"""C0561281"""
CLPUB00003	"""C1277623"""
CLPUB00313	"""C0201248"""
CLPUB00364	"""C0323065"""
CLPUB00364	"""C0585040"""
CLPUB00081	"""C0343072"""
CLPUB00292	"""C0025320"""
CLPUB00292	"""C0036867"""
CLPUB00292	"""C0232326"""
CLPUB00292	"""C0312656"""
CLPUB00292	"""C0312657"""
CLPUB00292	"""C0312658"""
CLPUB00292	"""C0420867"""
CLPUB00292	"""C0446453"""
CLPUB00292	"""C0561276"""
CLPUB00292	"""C0561277"""
CLPUB00292	"""C0581425"""
CLPUB00292	"""C0581435"""
CLPUB00292	"""C0876935"""
CLPUB00292	"""C1281585"""
CLPUB00292	"""C1720508"""
CLPUB00229	"""C0023483"""
CLPUB00229	"""C0349636"""
CLPUB00229	"""C0349637"""
CLPUB00229	"""C1961099"""
CLPUB00126	"""C1546956"""
CLPUB00011	"""C0202688"""
CLPUB00011	"""C0412594"""
CLPUB00011	"""C0561274"""
CLPUB00011	"""C1579547"""
CLPUB00405	"""C0324235"""
CLPUB00366	"""C0278234"""
CLPUB00339	"""C0432636"""
CLPUB00339	"""C0432657"""
CLPUB00114	"""C0238819"""
CLPUB00114	"""C0344104"""
CLPUB00114	"""C0412609"""
CLPUB00114	"""C0455356"""
CLPUB00114	"""C0561298"""
CLPUB00085	"""C0587534"""
CLPUB00385	"""C0412607"""
CLPUB00385	"""C0412686"""
CLPUB00396	"""C0203120"""
CLPUB00396	"""C0412630"""
CLPUB00187	"""C0200927"""
CLPUB00137	"""C0438043"""
CLPUB00311	"""C0412608"""
CLPUB00311	"""C0412687"""
CLPUB00043	"""C0206497"""
CLPUB00043	"""C0328749"""
CLPUB00273	"""C1292723"""
CLPUB00160	"""C0234566"""
CLPUB00095	"""C1541058"""
CLPUB00226	"""C0215619"""
CLPUB00253	"""C0561293"""
CLPUB00253	"""C1656864"""
CLPUB00012	"""C0040077"""
CLPUB00012	"""C0040078"""
CLPUB00012	"""C1268554"""
CLPUB00215	"""C1541709"""
CLPUB00215	"""C1947935"""
CLPUB00308	"""C0223074"""
CLPUB00435	"""C0020796"""
CLPUB00435	"""C0557351"""
CLPUB00435	"""C0578795"""
CLPUB00435	"""C1864923"""
CLPUB00225	"""C1284837"""
CLPUB00293	"""C0423137"""
CLPUB00346	"""C0332314"""
CLPUB00346	"""C0566253"""
CLPUB00346	"""C1319010"""
CLPUB00443	"""C0077275"""
CLPUB00403	"""C0449606"""
CLPUB00422	"""C0206423"""
CLPUB00422	"""C1265469"""
CLPUB00389	"""C0456358"""
CLPUB00376	"""C0392912"""
CLPUB00376	"""C0430923"""
CLPUB00376	"""C0578017"""
CLPUB00388	"""C0013455"""
CLPUB00388	"""C0444598"""
CLPUB00388	"""C1268972"""
CLPUB00426	"""C0440426"""
CLPUB00426	"""C0440433"""
CLPUB00426	"""C0440434"""
CLPUB00426	"""C0440435"""
CLPUB00426	"""C0440439"""
CLPUB00415	"""C0032589"""
CLPUB00262	"""C0452835"""
CLPUB00391	"""C0004886"""
CLPUB00391	"""C0065828"""
CLPUB00391	"""C3698577"""
CLPUB00387	"""C0444185"""
CLPUB00387	"""C1292722"""
CLPUB00428	"""C0206446"""
CLPUB00428	"""C2585482"""
CLPUB00116	"""C1997422"""
CLPUB00306	"""C0205470"""
CLPUB00113	"""C0346809"""
CLPUB00113	"""C0558356"""
CLPUB00113	"""C2204475"""
CLPUB00103	"""C0016163"""
CLPUB00103	"""C0453076"""
CLPUB00103	"""C0453078"""
CLPUB00022	"""C0036499"""
CLPUB00022	"""C0337023"""
CLPUB00022	"""C2919405"""
CLPUB00124	"""C0327981"""
CLPUB00202	"""C0201930"""
CLPUB00076	"""C0427631"""
CLPUB00076	"""C1267821"""
CLPUB00076	"""C1267833"""
CLPUB00076	"""C1267834"""
CLPUB00076	"""C1267841"""
CLPUB00076	"""C1267843"""
CLPUB00076	"""C1267846"""
CLPUB00076	"""C1267849"""
CLPUB00076	"""C1267853"""
CLPUB00442	"""C0028429"""
CLPUB00442	"""C0085349"""
CLPUB00442	"""C0301973"""
CLPUB00442	"""C0302291"""
CLPUB00442	"""C0312655"""
CLPUB00442	"""C0446625"""
CLPUB00442	"""C1278896"""
CLPUB00442	"""C1321760"""
CLPUB00278	"""C0327853"""
CLPUB00278	"""C0443969"""
CLPUB00328	"""C1301808"""
